Modelo,Activation,Max_iter,Hidden_Layer_Sizes,Alpha,Solver,Score,MSE
Model1,logistic,1000,"(4,)",0.001,lbfgs,0.0550002930788156,5424254244.836209
Model1,logistic,2000,"(4,)",0.001,lbfgs,-4.363545598407015e-06,5739978408.553457
Model1,logistic,2000,"(4,)",0.001,lbfgs,0.027646730042917955,5581262420.946932
Model2,logistic,2000,"(4,)",0.001,lbfgs,-4.36358465116804e-06,5739978408.777618
Model3,logistic,3000,"(4,)",0.001,lbfgs,-4.363545670349467e-06,5739978408.55387
Model4,logistic,4000,"(4,)",0.001,lbfgs,-4.369767329315266e-06,5739978444.2659025
Model5,logistic,5000,"(4,)",0.001,lbfgs,0.004225850554808619,5715697176.905825
Model1,logistic,2000,"(4,)",0.001,lbfgs,-4.3635455986290594e-06,5739978408.553458
Model2,logistic,2000,"(4,)",0.001,lbfgs,0.0028040217795386457,5723858407.764631
Model3,logistic,3000,"(4,)",0.001,lbfgs,-4.363545599295193e-06,5739978408.553462
Model4,logistic,4000,"(4,)",0.001,lbfgs,-4.363545599517238e-06,5739978408.553463
Model5,logistic,5000,"(4,)",0.001,lbfgs,-4.363936823237324e-06,5739978410.799069
BestModel,logistic,4000,"(16,)",0.001,lbfgs,-4.363146272723384e-06,5739978406.261347
BestModelWithScalaer,logistic,3000,"(16,)",0.001,lbfgs,-4.363597349232862e-06,5739978408.850505
BestModelWithScalerR2,logistic,2000,"(8,)",0.1,lbfgs,-4.367304096142277e-06,5739978430.127059
NewModel,logistic,4000,"(8,)",0.1,lbfgs,0.4685660515057247,3050406079.3434296,44289.54942274769
NewModel,logistic,4000,"(8,)",0.1,lbfgs,-4.3635278732523375e-06,5739978408.451715,61791.89687945604
NewModel,logistic,4000,"(8,)",0.1,lbfgs,-4.3670608520507415e-06,5739978428.73085,61791.896930700685
NewModel,logistic,4000,"(8,)",0.1,lbfgs,-4.292792858739958e-06,5739978002.436031,61791.896084596134
NewModel,logistic,5000,"(8,)",0.1,lbfgs,0.575250913746074,2438039945.6518717,39437.15698888451
NewModel,logistic,5000,"(8,)",0.1,lbfgs,0.511624106218511,2803254853.433367,42436.77693438881
NewModel,logistic,5000,"(8,)",0.1,lbfgs,0.4746518187956963,3015474058.9269757,43896.243466577354
NewModel,logistic,5000,"(8,)",0.1,lbfgs,-4.394038708888104e-06,5739978583.58249,61791.897321323704
